ID,MARCA,NOMBRE,ESTILO,GRADUACIÓN,NACIONALIDAD,NOTA,COMENTARIOS,IMAGEN_LOCAL,IMAGEN
122,Illas Cies,Cervexa IPA,IPA,4.0,España,,,Illas Cies IPA.png,https://borja-unibeerse.netlify.app/BeerImages/Illas%20Cies%20IPA.png
123,Innis & Gunn,The Original,Scoth Ale,6.6,Escocia,,,Innis & Gunn The Original.png,https://borja-unibeerse.netlify.app/BeerImages/Innis%20&%20Gunn%20The%20Original.png
124,Innis & Gunn,Caribbean Rum Cask,Amber Ale,6.8,Escocia,,,Innis & Gunn Caribbean Rum.png,https://borja-unibeerse.netlify.app/BeerImages/Innis%20&%20Gunn%20Caribbean%20Rum.png
125,Innis & Gunn,Blood Red Sky,Scoth Ale,6.8,Escocia,,,Innis & Gunn Blood Red Sky.png,https://borja-unibeerse.netlify.app/BeerImages/Innis%20&%20Gunn%20Blood%20Red%20Sky.png
126,Jambe De Bois,Jambe De Bois,Strong Belgian Ale,8,Bélgica,,,Jambe de Bois.png,
127,Jennings,Cumberland,Golden Ale,4.0,Italia,,,Jennings Cumberland.png,https://borja-unibeerse.netlify.app/BeerImages/Jennings%20Cumberland.png
128,Judas,Judas,Ale,8.5,Bélgica,,,Judas Ale.png,https://borja-unibeerse.netlify.app/BeerImages/Judas%20Ale.png
129,Karmeliet,Tripel Karmeliet 1679,Abadia Triple,8.4,Bélgica,,,Karmeliet Tripel.png,https://borja-unibeerse.netlify.app/BeerImages/Karmeliet%20Tripel.png
130,Karpackie,Karpackie,Strong Blonde,9,Polonia,,,Karpackie.png,https://borja-unibeerse.netlify.app/BeerImages/Karpackie.png
131,Katrina,Katrina,Lager,6.0,España,,León,Katrina Lager.png,https://borja-unibeerse.netlify.app/BeerImages/Katrina%20Lager.png
132,Kirin,Ichiban,baja fermentación,5.0,Japón,,,Kirin Ichiban.png,https://borja-unibeerse.netlify.app/BeerImages/Kirin%20Ichiban.png
133,Kuchlbauer,Guillamoos-Bier,Helles,5.6,Alemania,,,Kuchlbauer Guillamoos-Bier.png,https://borja-unibeerse.netlify.app/BeerImages/Kuchlbauer%20Guillamoos-Bier.png
134,La Chouffe,Blonde,Alta fermantación,8.0,Bélgica,,,La Chouffe.png,https://borja-unibeerse.netlify.app/BeerImages/La%20Chouffe.png
135,La Cibeles,Rubia,Blond Ale,4.5,España,,,La Cibeles Blonde Ale.png,https://borja-unibeerse.netlify.app/BeerImages/La%20Cibeles%20Blonde%20Ale.png
136,La Cibeles,Trigo,Trigo,4.5,España,,,La Cibeles Trigo.png,https://borja-unibeerse.netlify.app/BeerImages/La%20Cibeles%20Trigo.png
137,La Cibeles,Castaña,Ale,4.7,España,,,La Cibeles Castaña.png,https://borja-unibeerse.netlify.app/BeerImages/La%20Cibeles%20Casta%C3%B1a.png
138,La Corne,du Bois des Pendus,Ale Belga,10.0,Bélgica,,,La Corne du Bois des Pendus.png,https://borja-unibeerse.netlify.app/BeerImages/La%20Corne%20du%20Bois%20des%20Pendus.png
139,La Corne,Black,Ale Belga,8,Bélgica,,,La Corne Black.png,https://borja-unibeerse.netlify.app/BeerImages/La%20Corne%20Black.png
140,La Estrella de Galicia,Receta Primera Generación,Pilsen,4.7,España,,,La Estrella Galicia Primera Generacion.png,https://borja-unibeerse.netlify.app/BeerImages/La%20Estrella%20Galicia%20Primera%20Generacion.png
141,La Fontana,Canteo,Andes Pale Ale,4.8,España,,Hay que probarla de nuevo,La Fontana Canteo.png,https://borja-unibeerse.netlify.app/BeerImages/La%20Fontana%20Canteo.png
142,La Loba,Cerveza Libre,IPA,6.0,España,,Mérida,La Loba IPA.png,https://borja-unibeerse.netlify.app/BeerImages/La%20Loba%20IPA.png
143,La Plaga,Laika Virgin,Spacial IPA,5.9,España,,,La Plaga Laika Virgin.png,https://borja-unibeerse.netlify.app/BeerImages/La%20Plaga%20Laika%20Virgin.png
144,La Real,Riber IPA,Indian Pale Ale,4.6,España,,,La Real Riber IPA.png,https://borja-unibeerse.netlify.app/BeerImages/La%20Real%20Riber%20IPA.png
145,La Sagra,Senador Volstead,Red Ale,6.0,España,,Toledo,La Sagra Senador Volstead.png,https://borja-unibeerse.netlify.app/BeerImages/La%20Sagra%20Senador%20Volstead.png
146,La Sagra,Blanca de Trigo,Trigo,5.2,España,,Toledo,La Sagra Trigo.png,https://borja-unibeerse.netlify.app/BeerImages/La%20Sagra%20Trigo.png
147,La Sagra,Premium Rubia Ale,Blonde Ale,5.4,España,,Toledo,La Sagra Blonde.png,https://borja-unibeerse.netlify.app/BeerImages/La%20Sagra%20Blonde.png
148,La Sagra,IPA,IPA,7.2,España,,Toledo,La Sagra IPA.png,https://borja-unibeerse.netlify.app/BeerImages/La%20Sagra%20IPA.png
149,La Trappe,Dubbel,Trapenses,7.0,Holanda,,,La Trappe Dubbel.png,https://borja-unibeerse.netlify.app/BeerImages/La%20Trappe%20Dubbel.png
150,La Vallekana,La Vallekana,Golden Ale,4.7,España,,Vallecas,,
151,La Virgen,Imperial Champan,Imperial Pilsen,7.0,España,,,La Virgen Imperial Champan.png,https://borja-unibeerse.netlify.app/BeerImages/La%20Virgen%20Imperial%20Champan.png
152,La Virgen,Jamonera,Amber Ale,5.5,España,,,La Virgen Jamonera.png,https://borja-unibeerse.netlify.app/BeerImages/La%20Virgen%20Jamonera.png
153,La Virgen,360,Pale Ale,5.0,España,,,La Virgen 360.png,https://borja-unibeerse.netlify.app/BeerImages/La%20Virgen%20360.png
154,Laugar,Kiskale,Brown Ale - Pinta Irlandesa,7.3,España,,,Laugar Kiskale.png,https://borja-unibeerse.netlify.app/BeerImages/Laugar%20Kiskale.png
155,Leffe,Blonde,Rubia,6.6,Bélgica,,,Leffe Blonde.png,https://borja-unibeerse.netlify.app/BeerImages/Leffe%20Blonde.png
156,Leo,Leo ,Lager,5,Tailandia,,,Leo.png,
157,Licher, Pilsner,Pilsen,4.9,Inglaterra,,,Licher Pilsner.png,https://borja-unibeerse.netlify.app/BeerImages/Licher%20Pilsner.png
158,Licorne,Black,Negra,6.0,Francia,,,Licorne Black.png,https://borja-unibeerse.netlify.app/BeerImages/Licorne%20Black.png
159,Lindemans,Kriek,Lambic,3.5,Bélgica,,,Lindemans Kriek.png,https://borja-unibeerse.netlify.app/BeerImages/Lindemans%20Kriek.png
160,Lindemans,Framboise,Lambic,2.5,Bélgica,,,Lindemans Framboise.png,https://borja-unibeerse.netlify.app/BeerImages/Lindemans%20Framboise.png
161,Lux,Tongerlo,Rubia,6.0,Bélgica,,,Tongerlo Lux.png,https://borja-unibeerse.netlify.app/BeerImages/Tongerlo%20Lux.png
162,Madrí ,Chulapo Pilsen,Pilsen,5.0,España,,,Madrí Chulapo Pilsen.png,https://borja-unibeerse.netlify.app/BeerImages/Madr%C3%AD%20Chulapo%20Pilsen.png
163,Madriz,Hop Republic Chamberí,Lager Tostada,5.4,España,,,Madriz Chamberi.png,https://borja-unibeerse.netlify.app/BeerImages/Madriz%20Chamberi.png
